Column3,Column2,Column1
50.78,0.292,4696
57.138,-2.078,5331
50.818,0.314,5531
53.452,-2.264,6356
51.464,-2.566,7675
51.474,-2.576,7685
57.13,-2.086,7789
57.146,-2.114,8554
51.104,-4.162,8568
51.43,-2.612,8582
57.136,-2.108,8733
50.77,0.278,9044
51.464,-2.566,10491
51.502,-2.702,11068
52.422,-1.516,11276
50.774,0.256,11315
51.222,-0.194,11324
50.76,0.282,12585
51.498,-2.694,12711
51.086,-0.302,13295
56.456,-3.12,13356
53.33,-1.18,14326
50.792,0.252,14369
51.484,-2.584,14787
51.076,-0.516,15108
53.612,-2.416,15177
57.124,-2.102,15462
50.842,0.166,15629
51.442,-0.522,15869
50.786,0.324,15873
51.108,-4.162,15980
50.776,0.294,16324
57.106,-2.088,17079
51.452,-2.574,17318
51.468,-2.574,17502
51.11,-4.158,17648
51.822,-2.268,17741
50.858,0.592,18257
51.382,-0.156,18489
50.15,-5.616,18848
53.36,-1.01,19356
53.36256396126,-1.48549318314,19818
51.796,-0.172,20605
52.138,-0.45,20743
51.44,-2.574,20842
53.36091530484,-1.49962842464,20926
53.356,-1.504,20978
53.398,-1.514,21103
53.364,-1.48,21258
50.146,-5.63,21343
53.36292300000,-1.51208900000,21388
53.336,-1.51,21422
50.932,0.246,21497
51.698,-0.292,21792
53.35384000000,-1.46486500000,21921
53.35450300000,-1.46672600000,21931
53.404,-1.51,21987
51.574,-2.572,21989
51.576,0.194,21991
53.388,-1.504,21997
51.698,-0.292,22015
57.196,-2.1,22068
53.354,-1.48,22174
50.858,-1.778,22308
53.412,-1.328,22363
57.39,-2.468,22449
51.698,-0.292,22476
56.964,-2.212,22480
57.11,-2.24,22523
57.164,-2.12,22549
57.51,-1.84,22612
50.79,0.298,22614
57.158,-2.106,22618
57.172,-2.134,22691
53.398,-1.496,22810
51.45,-0.24,22837
57.548,-2.024,22879
57.15,-2.108,23007
53.532,-1.478,23146
56.39,-3.266,23280
53.36008400000,-1.51100200000,23582
57.15,-2.134,23628
51.466,-2.564,23644
51.472,-2.558,23646
53.404,-1.502,23866
53.37,-1.38,24135
51.45,-2.624,24147
53.362,-1.518,24153
53.47046796690,-1.47156178951,24155
53.35785700000,-1.48375500000,24167
53.39704500000,-1.50763010000,24174
53.36333513392,-1.51090294356,24189
53.41114345477,-1.39174461365,24199
53.42735200384,-1.47451758385,24237
53.38132533802,-1.45959377289,24239
53.37347229745,-1.41774058342,24247
53.36764010000,-1.36707750000,24297
53.42111867767,-1.45467996597,24319
56.468,-3.004,24389
53.364,-1.504,24409
57.20352965455,-2.28857231093,24543
51.39407136029,-1.32308006287,24563
53.40175757548,-1.46569311619,24655
50.78213142427,0.25483676360,24981
53.372,-1.556,25259
53.36274322879,-1.48576140404,25275
51.38,0.098,25287
51.386,0.016,25359
52.772,-3.89,25435
52.024,0.248,25445
50.79699250000,0.27956820000,25545
57.174,-2.112,25555
52.98907351825,-0.74913024902,25585
53.36601010000,-1.35190380000,25587
53.37312025276,-1.41825020313,25591
53.36936919590,-1.50477826595,25599
53.35504685093,-1.46655678749,25601
53.40033620000,-1.50259730000,25611
53.37482924250,-1.46074712276,25691
50.77046146318,0.25733113289,25802
51.00901597642,-0.10872615911,25958
51.38,0.098,26060
51.412,0.01,26253
53.37111994358,-1.55310094357,26361
53.36417734190,-1.47216796875,26381
57.172,-2.124,26616
50.774,0.268,26624
56.46665135897,-3.20591568947,26626
51.55453761246,-0.08730053902,26658
52.24588080000,-0.87026500000,26736
56.46667506635,-3.20636630058,26910
51.42139982562,-2.71091938019,26922
0,0,27015
53.36890509167,-1.50409162045,27073
53.38752610465,-1.49428009987,27077
57.07225290000,-2.79766460000,27173
57.16675693579,-2.11801171303,27319
